Year;App.;Taxon;Class;Order;Family;Genus;Importer;Exporter;Origin;Importer reported quantity;Exporter reported quantity;Term;Unit;Purpose;Source
2008;I;Balaenidae spp.;Mammalia;Cetacea;Balaenidae;;US;CA;US;1;;bones;;H;W
2008;I;Addax nasomaculatus;Mammalia;Artiodactyla;Bovidae;Addax;FR;US;;;1;trophies;;H;F
2008;I;Addax nasomaculatus;Mammalia;Artiodactyla;Bovidae;Addax;FR;ZA;;;1;trophies;;H;F
2008;I;Addax nasomaculatus;Mammalia;Artiodactyla;Bovidae;Addax;NO;US;;1;1;trophies;;H;F
2008;I;Capra falconeri;Mammalia;Artiodactyla;Bovidae;Capra;BE;PK;;1;1;trophies;;H;W
2008;I;Capra falconeri;Mammalia;Artiodactyla;Bovidae;Capra;CA;PK;;2;;horns;;H;W
2008;I;Capra falconeri;Mammalia;Artiodactyla;Bovidae;Capra;CA;PK;;3;;skins;;H;W
2008;I;Capra falconeri;Mammalia;Artiodactyla;Bovidae;Capra;CA;PK;;3;;skulls;;H;W
2008;I;Capra falconeri;Mammalia;Artiodactyla;Bovidae;Capra;CA;PK;;;2;trophies;;H;W
2008;I;Capra falconeri;Mammalia;Artiodactyla;Bovidae;Capra;DE;PK;;;1;trophies;;H;W
2008;I;Capra falconeri;Mammalia;Artiodactyla;Bovidae;Capra;DK;PK;;1;1;trophies;;H;W
2008;I;Capra falconeri;Mammalia;Artiodactyla;Bovidae;Capra;ES;PK;;1;1;trophies;;H;W
2008;I;Capra falconeri;Mammalia;Artiodactyla;Bovidae;Capra;ES;US;;1;1;trophies;;H;F
2008;I;Capra falconeri;Mammalia;Artiodactyla;Bovidae;Capra;FR;US;;;1;trophies;;H;F
2008;I;Capra falconeri;Mammalia;Artiodactyla;Bovidae;Capra;MX;PK;;3;;trophies;;H;W
2008;I;Capra falconeri;Mammalia;Artiodactyla;Bovidae;Capra;US;PK;;1;;trophies;;H;W
2008;I;Nanger dama;Mammalia;Artiodactyla;Bovidae;Nanger;ES;US;;1;1;trophies;;H;F
2008;I;Nanger dama;Mammalia;Artiodactyla;Bovidae;Nanger;MX;US;;2;1;trophies;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;AT;ZA;;;4;trophies;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;AT;ZA;;;1;trophies;;H;W
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;BE;ZA;;2;2;trophies;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;CA;US;;1;;skins;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;CA;US;;1;;skulls;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;CA;US;;;1;trophies;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;CA;ZA;;1;;bones;;H;W
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;CA;ZA;;1;;derivatives;;H;W
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;CA;ZA;;1;;skins;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;CA;ZA;;1;;skulls;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;CA;ZA;;2;;skulls;;H;W
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;CA;ZA;;;3;trophies;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;CA;ZA;;;2;trophies;;H;W
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;CL;ZA;;1;1;trophies;;H;W
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;DE;ZA;;1;1;trophies;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;ES;US;;;2;trophies;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;ES;ZA;;7;8;trophies;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;ES;ZA;;1;8;trophies;;H;W
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;FR;US;;;1;trophies;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;FR;ZA;;1;3;trophies;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;FR;ZA;;;1;trophies;;H;W
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;GB;ZA;;1;;trophies;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;GB;ZA;;;1;trophies;;H;W
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;HU;ZA;;;2;trophies;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;IT;US;;1;;trophies;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;LT;ZA;;;1;trophies;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;NO;US;;1;1;trophies;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;PK;ZA;;;1;trophies;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;PK;ZA;;1;;trophies;;H;W
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;RU;ZA;;3;4;trophies;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;SG;ZA;;;1;trophies;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;SK;ZA;;2;2;trophies;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;US;MX;;2;5;trophies;;H;C
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;US;ZA;;;1;trophies;;H;F
2008;I;Oryx dammah;Mammalia;Artiodactyla;Bovidae;Oryx;US;ZA;;;2;trophies;;H;W
2008;I;Oryx leucoryx;Mammalia;Artiodactyla;Bovidae;Oryx;CA;ZA;XX;1;;bones;;H;W
2008;I;Oryx leucoryx;Mammalia;Artiodactyla;Bovidae;Oryx;CA;ZA;XX;1;;skulls;;H;W
2008;I;Oryx leucoryx;Mammalia;Artiodactyla;Bovidae;Oryx;CA;ZA;;;1;trophies;;H;F
2008;I;Oryx leucoryx;Mammalia;Artiodactyla;Bovidae;Oryx;ES;US;;1;1;trophies;;H;F
2008;I;Oryx leucoryx;Mammalia;Artiodactyla;Bovidae;Oryx;MX;US;;1;1;trophies;;H;F
2008;I;Oryx leucoryx;Mammalia;Artiodactyla;Bovidae;Oryx;NO;US;;1;1;trophies;;H;F
2008;I;Oryx leucoryx;Mammalia;Artiodactyla;Bovidae;Oryx;RU;ZA;;1;1;trophies;;H;F
2008;I;Oryx leucoryx;Mammalia;Artiodactyla;Bovidae;Oryx;SK;ZA;;2;2;trophies;;H;F
2008;I;Crocodylus niloticus;Reptilia;Crocodylia;Crocodylidae;Crocodylus;MX;MZ;;1;;trophies;;H;W
2008;I;Loxodonta africana;Mammalia;Proboscidea;Elephantidae;Loxodonta;BE;CM;;1;;trophies;;H;W
2008;I;Loxodonta africana;Mammalia;Proboscidea;Elephantidae;Loxodonta;BE;MZ;;1;;trophies;;H;W
2008;I;Loxodonta africana;Mammalia;Proboscidea;Elephantidae;Loxodonta;BE;MZ;;;2;tusks;;H;W
2008;I;Loxodonta africana;Mammalia;Proboscidea;Elephantidae;Loxodonta;BE;TZ;;3;;trophies;;H;W
2008;I;Loxodonta africana;Mammalia;Proboscidea;Elephantidae;Loxodonta;BE;TZ;;;2;tusks;;H;W
2008;I;Loxodonta africana;Mammalia;Proboscidea;Elephantidae;Loxodonta;CA;CM;;1;;skulls;;H;W
2008;I;Loxodonta africana;Mammalia;Proboscidea;Elephantidae;Loxodonta;CA;MZ;;2;;feet;;H;W
2008;I;Loxodonta africana;Mammalia;Proboscidea;Elephantidae;Loxodonta;CA;MZ;;1;;tails;;H;W
2008;I;Loxodonta africana;Mammalia;Proboscidea;Elephantidae;Loxodonta;CA;MZ;;4;2;tusks;;H;W
2008;I;Loxodonta africana;Mammalia;Proboscidea;Elephantidae;Loxodonta;CA;TN;XX;1;;derivatives;;H;W
2008;I;Loxodonta africana;Mammalia;Proboscidea;Elephantidae;Loxodonta;CA;TN;XX;2;;ears;;H;W
2008;I;Loxodonta africana;Mammalia;Proboscidea;Elephantidae;Loxodonta;CA;TN;XX;5;;feet;;H;W
2008;I;Loxodonta africana;Mammalia;Proboscidea;Elephantidae;Loxodonta;CA;TN;XX;1;;skulls;;H;W
2008;I;Loxodonta africana;Mammalia;Proboscidea;Elephantidae;Loxodonta;CA;TN;XX;1;;tails;;H;W
2008;I;Loxodonta africana;Mammalia;Proboscidea;Elephantidae;Loxodonta;CA;TN;XX;4;;tusks;;H;W
2008;I;Loxodonta africana;Mammalia;Proboscidea;Elephantidae;Loxodonta;CA;TZ;;;2;tusks;;H;W
2008;I;Loxodonta africana;Mammalia;Proboscidea;Elephantidae;Loxodonta;CA;ZA;ZW;;2;tusks;;H;W
2008;I;Loxodonta africana;Mammalia;Proboscidea;Elephantidae;Loxodonta;CA;ZA;;8;;feet;;H;W
2008;I;Loxodonta africana;Mammalia;Proboscidea;Elephantidae;Loxodonta;CA;ZA;;2;;tails;;H;W
2008;I;Loxodonta africana;Mammalia;Proboscidea;Elephantidae;Loxodonta;CA;ZA;;6;;tusks;;H;W
2008;I;Loxodonta africana;Mammalia;Proboscidea;Elephantidae;Loxodonta;CA;ZW;;2;;ears;;H;W
2008;I;Loxodonta africana;Mammalia;Proboscidea;Elephantidae;Loxodonta;CA;ZW;;6;;feet;;H;W
