,polarity,date,tweet,tweet_processed,tweet_processed2
0,,2019-12-30 23:58:53+00:00,Comment les travailleurs belges ont bloqué la #RetraiteParPoints #FiersDeLaGreve #reformedesretraites . #GiletsJaunes #greve31decembre #cgt #fo #sudrail #France #Belgique #BFMTV #lci #cnews,comment travailleurs belges bloqué retraiteparpoints fiersdelagreve reformedesretraites giletsjaunes greve31decembre cgt fo sudrail france belgique bfmtv lci cnews,comment travailleur belge bloquer retraiteparpoint fiersdelagreve reformedesretrait giletsjaune greve31decembre cgt fo sudrail france belgiqu bfmtv lci cnew
1,,2019-12-30 23:52:46+00:00,#Retraites #ReformeRetraites #reformedesretraites #Macron #GiletsJaunes #greve31decembre #CGT #EdouardPhilippe #SNCF #RATP #FiersDeLaGreve 𝟮𝟳 𝗲𝗺𝗲 𝗷𝗼𝘂𝗿 de #Greve contre la Réforme...,retraites reformeretraites reformedesretraites macron giletsjaunes greve31decembre cgt edouardphilippe sncf ratp fiersdelagreve 𝟮𝟳 𝗲𝗺𝗲 𝗷𝗼𝘂𝗿 greve contre réforme ...,retrait reformeretrait reformedesretraite macron giletsjauner greve31decembre cgt edouardphilippe sncf ratp fiersdelagreve 𝟮𝟳 𝗲𝗺𝗲 𝗷𝗼𝘂𝗿 grev contrer réformer ...
2,,2019-12-30 23:50:37+00:00,#Réformedesretraites : le ton monte entre le ⁦@gouvernementFR⁩ et la #CGT - Le Parisien,réformedesretraites monte entre gouvernementfr⁩ cgt parisien,réformedesretraiter mont entrer gouvernementfr⁩ cgt parisien
3,,2019-12-30 23:48:15+00:00,Apparemment ça dérange beaucoup ! ! #France #greve31decembre #reformedesretraites #GiletsJaunes #Coulommiers #écologie https://twitter.com/franck77120/status/1211370152933167105,apparemment ça dérange beaucoup france greve31decembre reformedesretraites giletsjaunes coulommiers écologie https //twitter.com/franck77120/status/1211370152933167105,apparemment ça déranger beaucoup france greve31decembre reformedesretraite giletsjauner coulommiers écologi http //twitter.com / franck77120/status/1211370152933167105
4,,2019-12-30 23:46:38+00:00,"Tout à fait, un stress permanent qui se rajoutera à celui du travail, de la recherche d'un emploi, de la perte d'un emploi #reformedesretraites #RetraiteParPoints .",tout fait stress permanent rajoutera celui travail recherche d'un emploi perte d'un emploi reformedesretraites retraiteparpoints,tout faire stress permanent rajouter celui travail rechercher de un emploi perte de un emploi reformedesretraiter retraiteparpoint
5,,2019-12-30 23:18:27+00:00,Ambiance à la #RATP ... et après ils comprennent pas pourquoi les gens ne se syndiquent pas en France ... #UneMinoritéQuiVeutDeciderPourUneMajorité #reformedesretraites ,ambiance ratp ... après comprennent pourquoi gens syndiquent france ... uneminoritéquiveutdeciderpourunemajorité reformedesretraites,ambiance ratp ... après comprendre pourquoi gen syndiquer france ... uneminoritéquiveutdeciderpourunemajorité reformedesretraiter
6,,2019-12-30 23:14:53+00:00," Article de @Nice_Matin [2/2] ""Emmanuel Macron devrait réaffirmer lors de ses voeux aux Français ""l'ambition forte du #gouvernement"" et la sienne pour la #RéformeDesRetraites, un ""projet de progrès social qui corrige de nombreuses inégalités"", a affirmé lundi l'#Elysée à l'AFP.""",article nice_matin 2/2 `` emmanuel macron devrait réaffirmer lors voeux français `` l'ambition forte gouvernement '' sienne réformedesretraites `` projet progrès social corrige nombreuses inégalités '' affirmé lundi elysée l'afp '',article nice_matin 2/2 `` emmanuel macron devoir réaffirmer lors voeu français `` le ambition fort gouvernement '' sien réformedesretraiter `` projet progrès social corriger nombreux inégaliter '' affirmer lundi elyser le afp ''
7,,2019-12-30 23:14:52+00:00," Article de @Nice_Matin [Thread 1/2] @EmmanuelMacron devrait réaffirmer son ""ambition forte"" pour la #RéformeDesRetraites 30/12/2019 ",article nice_matin thread 1/2 emmanuelmacron devrait réaffirmer `` ambition forte '' réformedesretraites 30/12/2019,article nice_matin thread 1/2 emmanuelmacron devoir réaffirmer `` ambition fort '' réformedesretraiter 30/12/2019
8,,2019-12-30 23:14:20+00:00,"Le pot aux roses (faire baisser les pensions de #retraites) de la généralisation du modèle des complémentaires par points Agirc-Arrco à ts les systèmes de retraite, ce que Macron veut faire, n'a pas été dévoilé que par Fillon (p.67)#reformedesretraites http://www.reseau-salariat.info/70d65e5184af69a0e886e32ceae83b75.pdf?revision=1575032191&amp;lang=fr",pot roses faire baisser pensions retraites généralisation modèle complémentaires points agirc-arrco ts systèmes retraite macron veut faire dévoilé fillon p.67 reformedesretraites http //www.reseau-salariat.info/70d65e5184af69a0e886e32ceae83b75.pdf revision=1575032191 amp lang=fr,pot rose faire baisser pension retrait généralisation modeler complémentaire point agirc - arrco ts système retraiter macron vouloir faire dévoiler fillon p.67 reformedesretraiter http //www.reseau - salariat.info/70d65e5184af69a0e886e32ceae83b75.pdf revision=1575032191 amp lang = fr
9,,2019-12-30 23:12:51+00:00,C'est très instructif pour mettre en perspective les mouvements sociaux de notre époque! #GreveGenerale #reformedesretraites ,c'est très instructif mettre perspective mouvements sociaux époque grevegenerale reformedesretraites,ce être très instructif mettre perspectif mouvement social époque grevegeneral reformedesretraiter
