,polarity,date,tweet,tweet_processed,tweet_processed2
0,negatif,,Comment les travailleurs belges ont bloqué la #RetraiteParPoints #FiersDeLaGreve #reformedesretraites . #GiletsJaunes #greve31decembre #cgt #fo #sudrail #France #Belgique #BFMTV #lci #cnews,comment travailleurs belges bloqué retraiteparpoints fiersdelagreve reformedesretraites giletsjaunes greve31decembre cgt fo sudrail france belgique bfmtv lci cnews,comment travailleur belge bloquer retraiteparpoints fiersdelagreve reformedesretraites giletsjaunes greve31decembre cgt fo sudrail france belgique bfmtv lci cnews
1,negatif,,#Retraites #ReformeRetraites #reformedesretraites #Macron #GiletsJaunes #greve31decembre #CGT #EdouardPhilippe #SNCF #RATP #FiersDeLaGreve 𝟮𝟳 𝗲𝗺𝗲 𝗷𝗼𝘂𝗿 de #Greve contre la Réforme...,retraites reformeretraites reformedesretraites macron giletsjaunes greve31decembre cgt edouardphilippe sncf ratp fiersdelagreve 𝟮𝟳 𝗲𝗺𝗲 𝗷𝗼𝘂𝗿 greve contre réforme,retraiter reformeretraites reformedesretraites macron giletsjaunes greve31decembre cgt edouardphilippe sncf ratp fiersdelagreve 𝟮𝟳 𝗲𝗺𝗲 𝗷𝗼𝘂𝗿 greve contrer réformer
2,negatif,,#Réformedesretraites : le ton monte entre le ⁦@gouvernementFR⁩ et la #CGT - Le Parisien,réformedesretraites monte entre cgt parisien,réformedesretraites monter entrer cgt parisien
3,negatif,,Apparemment ça dérange beaucoup ! ! #France #greve31decembre #reformedesretraites #GiletsJaunes #Coulommiers #écologie https://twitter.com/franck77120/status/1211370152933167105,apparemment ça dérange beaucoup france greve31decembre reformedesretraites giletsjaunes coulommiers écologie,apparemment ça déranger beaucoup france greve31decembre reformedesretraites giletsjaunes coulommiers écologie
4,negatif,,"Tout à fait, un stress permanent qui se rajoutera à celui du travail, de la recherche d'un emploi, de la perte d'un emploi #reformedesretraites #RetraiteParPoints .",tout fait stress permanent rajoutera celui travail recherche emploi perte emploi reformedesretraites retraiteparpoints,tout faire stress permanent rajouter celui travail rechercher emploi perte emploi reformedesretraites retraiteparpoints
5,negatif,,Ambiance à la #RATP ... et après ils comprennent pas pourquoi les gens ne se syndiquent pas en France ... #UneMinoritéQuiVeutDeciderPourUneMajorité #reformedesretraites,ambiance ratp après comprennent pourquoi gens syndiquent france uneminoritéquiveutdeciderpourunemajorité reformedesretraites,ambiance ratp après comprendre pourquoi gens syndiquer france uneminoritéquiveutdeciderpourunemajorité reformedesretraites
6,positif,," Article de @Nice_Matin [2/2] ""Emmanuel Macron devrait réaffirmer lors de ses voeux aux Français ""l'ambition forte du #gouvernement"" et la sienne pour la #RéformeDesRetraites, un ""projet de progrès social qui corrige de nombreuses inégalités"", a affirmé lundi l'#Elysée à l'AFP.""",article emmanuel macron devrait réaffirmer lors voeux français ambition forte gouvernement sienne réformedesretraites projet progrès social corrige nombreuses inégalités affirmé lundi elysée afp,article emmanuel macron devoir réaffirmer lors voeu français ambition fort gouvernement sien réformedesretraites projet progrès social corriger nombreux inégalité affirmer lundi elysée afp
7,positif,," Article de @Nice_Matin [Thread 1/2] @EmmanuelMacron devrait réaffirmer son ""ambition forte"" pour la #RéformeDesRetraites 30/12/2019 ",article thread devrait réaffirmer ambition forte réformedesretraites 30 12 2019,article thread devoir réaffirmer ambition fort réformedesretraites 30 12 2019
8,negatif,,"Le pot aux roses (faire baisser les pensions de #retraites) de la généralisation du modèle des complémentaires par points Agirc-Arrco à ts les systèmes de retraite, ce que Macron veut faire, n'a pas été dévoilé que par Fillon (p.67)#reformedesretraites http://www.reseau-salariat.info/70d65e5184af69a0e886e32ceae83b75.pdf?revision=1575032191&amp;lang=fr",pot roses faire baisser pensions retraites généralisation modèle complémentaires points agirc arrco ts systèmes retraite macron veut faire dévoilé fillon 67 reformedesretraites,pot rose faire baisser pension retraiter généralisation modeler complémentaire point agirc arrco ts système retraiter macron vouloir faire dévoiler fillon 67 reformedesretraites
9,positif,,C'est très instructif pour mettre en perspective les mouvements sociaux de notre époque! #GreveGenerale #reformedesretraites,très instructif mettre perspective mouvements sociaux époque grevegenerale reformedesretraites,très instructif mettre perspectif mouvement social époque grevegenerale reformedesretraites
