,state,numcol,yieldpercol,yieldpercol_kg,totalprod,totalprod_kg,totalprod_to,stocks,stocks_to,priceperlb,priceperkg,pricepertonne,prodvalue,year,StateName,Region,FIPS,CLOTHIANIDIN,IMIDACLOPRID,THIAMETHOXAM,ACETAMIPRID,THIACLOPRID,AllNeonic
0,AL,14000.0,66,29.937096420000003,924000.0,419119.34988,419.11934988,92000.0,41.73049804,0.81,1.7857443236975084,1785.7443236975087,748000.0,1997,Alabama,South,1,0.0,6704.8,0.0,0.0,0.0,6704.8
1,AL,15000.0,64,29.02991168,960000.0,435448.6752,435.44867519999997,96000.0,43.54486752,0.87,1.918021681008435,1918.021681008435,835000.0,1996,Alabama,South,1,0.0,371.6,0.0,0.0,0.0,371.6
2,AL,16000.0,58,26.30835746,928000.0,420933.71936000005,420.93371936,28000.0,12.700586359999999,0.69,1.5211896090756551,1521.1896090756552,640000.0,1995,Alabama,South,1,0.0,716.5,0.0,0.0,0.0,716.5
3,AL,18000.0,50,22.6796185,900000.0,408233.13300000003,408.233133,99000.0,44.90564463,0.52,1.1464037633613633,1146.4037633613634,468000.0,1994,Alabama,South,1,,,,,,
4,AL,19000.0,45,20.41165665,855000.0,387821.47635,387.82147635,103000.0,46.72001411,0.59,1.3007273468907776,1300.7273468907777,504000.0,1993,Alabama,South,1,,,,,,
5,AL,23000.0,24,10.886216880000001,552000.0,250382.98824,250.38298824,66000.0,29.93709642,0.63,1.3889122517647288,1388.9122517647288,348000.0,1991,Alabama,South,1,,,,,,
6,AL,25000.0,41,18.59728717,1025000.0,464932.17925000004,464.93217925,113000.0,51.25593781,0.59,1.3007273468907776,1300.7273468907777,605000.0,1992,Alabama,South,1,,,,,,
7,AL,11000.0,56,25.40117272,616000.0,279412.89992,279.41289992,209000.0,94.80080533,1.49,3.284887706554676,3284.8877065546762,918000.0,2007,Alabama,South,1,7696.2,3258.1,4149.6,0.0,0.0,15103.9
8,AL,11000.0,72,32.658650640000005,792000.0,359245.15704,359.24515704,230000.0,104.3262451,1.21,2.6675933724370187,2667.593372437019,958000.0,2006,Alabama,South,1,680.0,4230.2,5371.6,0.0,0.0,10281.8
9,AL,12000.0,86,39.00894382,1032000.0,468107.32584,468.10732584,103000.0,46.72001411,1.18,2.6014546937815552,2601.4546937815553,1218000.0,2002,Alabama,South,1,0.0,1178.8,840.4,0.0,0.0,2019.2
