PassengerId,Age,Embarked,Fare,Pclass,Sex,Title,FSize,Survived
1,22.0,2,7.25,3,1,12,1,0.0
2,38.0,0,71.2833,1,0,13,1,1.0
3,26.0,2,7.925,3,0,9,0,1.0
4,35.0,2,53.1,1,0,13,1,1.0
5,35.0,2,08.05,3,1,12,0,0.0
6,29.0,1,8.4583,3,1,12,0,0.0
7,54.0,2,51.8625,1,1,12,0,0.0
8,2.0,2,21.075,3,1,8,4,0.0
9,27.0,2,11.1333,3,0,13,2,1.0
10,14.0,0,30.0708,2,0,13,1,1.0
11,4.0,2,16.7,3,0,9,2,1.0
12,58.0,2,26.55,1,0,9,0,1.0
13,20.0,2,08.05,3,1,12,0,0.0
14,39.0,2,31.275,3,1,12,6,0.0
15,14.0,2,7.8542,3,0,9,0,0.0
16,55.0,2,16.0,2,0,13,0,1.0
17,2.0,1,29.125,3,1,8,5,0.0
18,29.0,2,13.0,2,1,12,0,1.0
19,31.0,2,18.0,3,0,13,1,0.0
20,29.0,0,7.225,3,0,13,0,1.0
21,35.0,2,26.0,2,1,12,0,0.0
22,34.0,2,13.0,2,1,12,0,1.0
23,15.0,1,8.0292,3,0,9,0,1.0
24,28.0,2,35.5,1,1,12,0,1.0
25,8.0,2,21.075,3,0,9,4,0.0
26,38.0,2,31.3875,3,0,13,6,1.0
27,29.0,0,7.225,3,1,12,0,0.0
28,19.0,2,263.0,1,1,12,5,0.0
29,29.0,1,7.8792,3,0,9,0,1.0
30,29.0,2,7.8958,3,1,12,0,0.0
31,40.0,0,27.7208,1,1,2,0,0.0
32,29.0,0,146.5208,1,0,13,1,1.0
33,29.0,1,7.75,3,0,9,0,1.0
34,66.0,2,10.5,2,1,12,0,0.0
35,28.0,0,82.1708,1,1,12,1,0.0
36,42.0,2,52.0,1,1,12,1,0.0
37,29.0,0,7.2292,3,1,12,0,1.0
38,21.0,2,08.05,3,1,12,0,0.0
39,18.0,2,18.0,3,0,9,2,0.0
40,14.0,0,11.2417,3,0,9,1,1.0
41,40.0,2,9.475,3,0,13,1,0.0
42,27.0,2,21.0,2,0,13,1,0.0
43,29.0,0,7.8958,3,1,12,0,0.0
44,3.0,0,41.5792,2,0,9,3,1.0
45,19.0,1,7.8792,3,0,9,0,1.0
46,29.0,2,08.05,3,1,12,0,0.0
47,29.0,1,15.5,3,1,12,1,0.0
48,29.0,1,7.75,3,0,9,0,1.0
49,29.0,0,21.6792,3,1,12,2,0.0
50,18.0,2,17.8,3,0,13,1,0.0
51,7.0,2,39.6875,3,1,8,5,0.0
52,21.0,2,7.8,3,1,12,0,0.0
53,49.0,0,76.7292,1,0,13,1,1.0
54,29.0,2,26.0,2,0,13,1,1.0
55,65.0,0,61.9792,1,1,12,1,0.0
56,29.0,2,35.5,1,1,12,0,1.0
57,21.0,2,10.5,2,0,9,0,1.0
58,28.5,0,7.2292,3,1,12,0,0.0
59,5.0,2,27.75,2,0,9,3,1.0
60,11.0,2,46.9,3,1,8,7,0.0
61,22.0,0,7.2292,3,1,12,0,0.0
62,38.0,2,80.0,1,0,9,0,1.0
63,45.0,2,83.475,1,1,12,1,0.0
64,4.0,2,27.9,3,1,8,5,0.0
65,29.0,0,27.7208,1,1,12,0,0.0
66,29.0,0,15.2458,3,1,8,2,1.0
67,29.0,2,10.5,2,0,13,0,1.0
68,19.0,2,8.1583,3,1,12,0,0.0
69,17.0,2,7.925,3,0,9,6,1.0
70,26.0,2,8.6625,3,1,12,2,0.0
71,32.0,2,10.5,2,1,12,0,0.0
72,16.0,2,46.9,3,0,9,7,0.0
73,21.0,2,73.5,2,1,12,0,0.0
74,26.0,0,14.4542,3,1,12,1,0.0
75,32.0,2,56.4958,3,1,12,0,1.0
76,25.0,2,7.65,3,1,12,0,0.0
77,29.0,2,7.8958,3,1,12,0,0.0
78,29.0,2,08.05,3,1,12,0,0.0
79,0.83,2,29.0,2,1,8,2,1.0
80,30.0,2,12.475,3,0,9,0,1.0
81,22.0,2,9.0,3,1,12,0,0.0
82,29.0,2,9.5,3,1,12,0,1.0
83,29.0,1,7.7875,3,0,9,0,1.0
84,28.0,2,47.1,1,1,12,0,0.0
85,17.0,2,10.5,2,0,9,0,1.0
86,33.0,2,15.85,3,0,13,3,1.0
87,16.0,2,34.375,3,1,12,4,0.0
88,29.0,2,08.05,3,1,12,0,0.0
89,23.0,2,263.0,1,0,9,5,1.0
90,24.0,2,08.05,3,1,12,0,0.0
91,29.0,2,08.05,3,1,12,0,0.0
92,20.0,2,7.8542,3,1,12,0,0.0
93,46.0,2,61.175,1,1,12,1,0.0
94,26.0,2,20.575,3,1,12,3,0.0
95,59.0,2,7.25,3,1,12,0,0.0
96,29.0,2,08.05,3,1,12,0,0.0
97,71.0,0,34.6542,1,1,12,0,0.0
98,23.0,0,63.3583,1,1,12,1,1.0
99,34.0,2,23.0,2,0,13,1,1.0
100,34.0,2,26.0,2,1,12,1,0.0
101,28.0,2,7.8958,3,0,9,0,0.0
102,29.0,2,7.8958,3,1,12,0,0.0
103,21.0,2,77.2875,1,1,12,1,0.0
104,33.0,2,8.6542,3,1,12,0,0.0
105,37.0,2,7.925,3,1,12,2,0.0
106,28.0,2,7.8958,3,1,12,0,0.0
107,21.0,2,7.65,3,0,9,0,1.0
108,29.0,2,7.775,3,1,12,0,1.0
109,38.0,2,7.8958,3,1,12,0,0.0
110,29.0,1,24.15,3,0,9,1,1.0
111,47.0,2,52.0,1,1,12,0,0.0
112,14.5,0,14.4542,3,0,9,1,0.0
113,22.0,2,08.05,3,1,12,0,0.0
114,20.0,2,9.825,3,0,9,1,0.0
115,17.0,0,14.4583,3,0,9,0,0.0
116,21.0,2,7.925,3,1,12,0,0.0
117,70.5,1,7.75,3,1,12,0,0.0
118,29.0,2,21.0,2,1,12,1,0.0
119,24.0,0,247.5208,1,1,12,1,0.0
120,2.0,2,31.275,3,0,9,6,0.0
121,21.0,2,73.5,2,1,12,2,0.0
122,29.0,2,08.05,3,1,12,0,0.0
123,32.5,0,30.0708,2,1,12,1,0.0
124,32.5,2,13.0,2,0,9,0,1.0
125,54.0,2,77.2875,1,1,12,1,0.0
126,12.0,0,11.2417,3,1,8,1,1.0
127,29.0,1,7.75,3,1,12,0,0.0
128,24.0,2,7.1417,3,1,12,0,1.0
129,29.0,0,22.3583,3,0,9,2,1.0
130,45.0,2,6.975,3,1,12,0,0.0
131,33.0,0,7.8958,3,1,12,0,0.0
132,20.0,2,07.05,3,1,12,0,0.0
133,47.0,2,14.5,3,0,13,1,0.0
134,29.0,2,26.0,2,0,13,1,1.0
135,25.0,2,13.0,2,1,12,0,0.0
136,23.0,0,15.0458,2,1,12,0,0.0
137,19.0,2,26.2833,1,0,9,2,1.0
138,37.0,2,53.1,1,1,12,1,0.0
139,16.0,2,9.2167,3,1,12,0,0.0
140,24.0,0,79.2,1,1,12,0,0.0
141,29.0,0,15.2458,3,0,13,2,0.0
142,22.0,2,7.75,3,0,9,0,1.0
143,24.0,2,15.85,3,0,13,1,1.0
144,19.0,1,6.75,3,1,12,0,0.0
145,18.0,2,11.5,2,1,12,0,0.0
